,Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Has_Cabin,FamilySize,IsAlone,Title
57,0,3,1,1,0,0,1,0,1,1,1
58,1,2,0,0,2,2,0,0,4,0,4
59,0,3,1,0,2,3,0,0,8,0,2
60,0,3,1,1,0,0,1,0,1,1,1
61,1,1,0,2,0,3,0,1,1,1,4
62,0,1,1,2,0,3,0,1,2,0,1
63,0,3,1,0,2,2,0,0,6,0,2
64,0,1,1,1,0,2,1,0,1,1,1
65,1,3,1,1,1,2,1,0,3,0,2
66,1,2,0,1,0,1,0,1,1,1,3
67,0,3,1,1,0,1,0,0,1,1,1
68,1,3,0,1,2,1,0,0,7,0,4
69,0,3,1,1,0,1,0,0,3,0,1
70,0,2,1,1,0,1,0,0,1,1,1
71,0,3,0,0,2,3,0,0,8,0,4
72,0,2,1,1,0,3,0,0,1,1,1
73,0,3,1,1,0,2,1,0,2,0,1
74,1,3,1,1,0,3,0,0,1,1,1
75,0,3,1,1,0,0,0,1,1,1,1
76,0,3,1,1,0,0,0,0,1,1,1
77,0,3,1,2,0,1,0,0,1,1,1
78,1,2,1,0,2,2,0,0,3,0,2
79,1,3,0,1,0,1,0,0,1,1,4
80,0,3,1,1,0,1,0,0,1,1,1
81,1,3,1,1,0,1,0,0,1,1,1
82,1,3,0,0,0,0,2,0,1,1,4
83,0,1,1,1,0,3,0,0,1,1,1
84,1,2,0,1,0,1,0,0,1,1,4
85,1,3,0,2,0,2,0,0,4,0,3
86,0,3,1,0,3,3,0,0,5,0,1
87,0,3,1,1,0,1,0,0,1,1,1
88,1,1,0,1,2,3,0,1,6,0,4
89,0,3,1,1,0,1,0,0,1,1,1
90,0,3,1,1,0,1,0,0,1,1,1
91,0,3,1,1,0,0,0,0,1,1,1
92,0,1,1,2,0,3,0,1,2,0,1
93,0,3,1,1,2,2,0,0,4,0,1
94,0,3,1,3,0,0,0,0,1,1,1
95,0,3,1,2,0,1,0,0,1,1,1
96,0,1,1,71,0,3,1,1,1,1,1
97,1,1,1,1,1,3,1,1,2,0,1
98,1,2,0,2,1,2,0,0,2,0,3
99,0,2,1,2,0,2,0,0,2,0,1
100,0,3,0,1,0,0,0,0,1,1,4
101,0,3,1,1,0,0,0,0,1,1,1
102,0,1,1,1,1,3,0,1,2,0,1
103,0,3,1,2,0,1,0,0,1,1,1
104,0,3,1,2,0,1,0,0,3,0,1
105,0,3,1,1,0,0,0,0,1,1,1
106,1,3,0,1,0,0,0,0,1,1,4
107,1,3,1,2,0,0,0,0,1,1,1
108,0,3,1,2,0,0,0,0,1,1,1
109,1,3,0,2,0,2,2,0,2,0,4
110,0,1,1,2,0,3,0,1,1,1,1
111,0,3,0,0,0,2,1,0,2,0,4
112,0,3,1,1,0,1,0,0,1,1,1
113,0,3,0,1,0,1,0,0,2,0,4
114,0,3,0,1,0,2,1,0,1,1,4
115,0,3,1,1,0,1,0,0,1,1,1
116,0,3,1,70,0,0,2,0,1,1,1
117,0,2,1,1,0,2,0,0,2,0,1
118,0,1,1,1,1,3,1,1,2,0,1
119,0,3,0,0,2,3,0,0,7,0,4
120,0,2,1,1,0,3,0,0,3,0,1
121,0,3,1,1,0,1,0,0,1,1,1
122,0,2,1,1,0,2,1,0,2,0,1
123,1,2,0,1,0,1,0,1,1,1,4
124,0,1,1,3,1,3,0,1,2,0,1
125,1,3,1,0,0,1,1,0,2,0,2
126,0,3,1,1,0,0,2,0,1,1,1
127,1,3,1,1,0,0,0,0,1,1,1
128,1,3,0,2,1,2,1,1,3,0,4
129,0,3,1,2,0,0,0,0,1,1,1
130,0,3,1,2,0,0,1,0,1,1,1
131,0,3,1,1,0,0,0,0,1,1,1
132,0,3,0,2,0,2,0,0,2,0,3
133,1,2,0,1,0,2,0,0,2,0,3
134,0,2,1,1,0,1,0,0,1,1,1
135,0,2,1,1,0,2,1,0,1,1,1
136,1,1,0,1,2,2,0,1,3,0,4
137,0,1,1,2,0,3,0,1,2,0,1
138,0,3,1,0,0,1,0,0,1,1,1
139,0,1,1,1,0,3,1,1,1,1,1
140,0,3,0,1,2,2,1,0,3,0,3
141,1,3,0,1,0,0,0,0,1,1,4
142,1,3,0,1,0,2,0,0,2,0,3
143,0,3,1,1,0,0,2,0,1,1,1
144,0,2,1,1,0,1,0,0,1,1,1
145,0,2,1,1,1,3,0,0,3,0,1
146,1,3,1,1,0,0,0,0,1,1,1
147,0,3,0,0,2,3,0,0,5,0,4
148,0,2,1,2,2,2,0,1,3,0,1
149,0,2,1,2,0,1,0,0,1,1,5
150,0,2,1,3,0,1,0,0,1,1,5
151,1,1,0,1,0,3,0,1,2,0,3
152,0,3,1,3,0,1,0,0,1,1,1
153,0,3,1,2,2,2,0,0,3,0,1
154,0,3,1,1,0,0,0,0,1,1,1
155,0,1,1,3,1,3,1,0,2,0,1
156,1,3,0,0,0,0,2,0,1,1,4
157,0,3,1,1,0,1,0,0,1,1,1
158,0,3,1,1,0,1,0,0,1,1,1
159,0,3,1,1,2,3,0,0,11,0,2
160,0,3,1,2,1,2,0,0,2,0,1
161,1,2,0,2,0,2,0,0,1,1,3
162,0,3,1,1,0,0,0,0,1,1,1
163,0,3,1,1,0,1,0,0,1,1,1
164,0,3,1,0,1,3,0,0,6,0,2
165,1,3,1,0,2,2,0,0,3,0,2
166,1,1,0,2,1,3,0,1,2,0,3
167,0,3,0,2,4,2,0,0,6,0,3
168,0,1,1,2,0,2,0,0,1,1,1
169,0,3,1,1,0,3,0,0,1,1,1
170,0,1,1,3,0,3,0,1,1,1,1
171,0,3,1,0,1,2,2,0,6,0,2
172,1,3,0,0,1,1,0,0,3,0,4
173,0,3,1,1,0,1,0,0,1,1,1
174,0,1,1,3,0,2,1,1,1,1,1
175,0,3,1,1,1,0,0,0,3,0,1
176,0,3,1,1,1,2,0,0,5,0,2
177,0,1,0,3,0,2,1,1,1,1,4
178,0,2,1,1,0,1,0,0,1,1,1
179,0,3,1,2,0,0,0,0,1,1,1
180,0,3,0,1,2,3,0,0,11,0,4
181,0,2,1,1,0,2,1,0,1,1,1
182,0,3,1,0,2,3,0,0,7,0,2
183,1,2,1,0,1,3,0,1,4,0,2
184,1,3,0,0,2,2,0,0,3,0,4
185,0,1,1,1,0,3,0,1,1,1,1
186,1,3,0,2,0,2,2,0,2,0,3
187,1,1,1,2,0,2,0,0,1,1,1
188,0,3,1,2,1,2,2,0,3,0,1
189,0,3,1,2,0,0,0,0,1,1,1
190,1,2,0,1,0,1,0,0,1,1,3
191,0,2,1,1,0,1,0,0,1,1,1
192,1,3,0,1,0,0,0,0,2,0,4
193,1,2,1,0,1,2,0,1,3,0,2
194,1,1,0,2,0,2,1,1,1,1,3
195,1,1,0,3,0,3,1,1,1,1,4
196,0,3,1,2,0,0,2,0,1,1,1
197,0,3,1,2,1,1,0,0,2,0,1
198,1,3,0,1,0,0,2,0,1,1,4
199,0,2,0,1,0,1,0,0,1,1,4
200,0,3,1,1,0,1,0,0,1,1,1
201,0,3,1,1,2,3,0,0,11,0,1
202,0,3,1,2,0,0,0,0,1,1,1
203,0,3,1,2,0,0,1,0,1,1,1
204,1,3,1,1,0,1,0,0,1,1,1
205,0,3,0,0,1,1,0,1,2,0,4
206,0,3,1,1,0,2,0,0,2,0,1
207,1,3,1,1,0,2,1,0,1,1,1
208,1,3,0,0,0,0,2,0,1,1,4
209,1,1,1,2,0,2,1,1,1,1,1
210,0,3,1,1,0,0,0,0,1,1,1
211,1,2,0,2,0,2,0,0,1,1,4
212,0,3,1,1,0,0,0,0,1,1,1
213,0,2,1,1,0,1,0,0,1,1,1
214,0,3,1,1,0,0,2,0,2,0,1
215,1,1,0,1,0,3,1,1,2,0,4
216,1,3,0,1,0,1,0,0,1,1,4
217,0,2,1,2,0,2,0,0,2,0,1
218,1,1,0,1,0,3,1,1,1,1,4
219,0,2,1,1,0,1,0,0,1,1,1
220,1,3,1,0,0,1,0,0,1,1,1
221,0,2,1,1,0,1,0,0,1,1,1
222,0,3,1,3,0,1,0,0,1,1,1
223,0,3,1,1,0,0,0,0,1,1,1
224,1,1,1,2,0,3,0,1,2,0,1
225,0,3,1,1,0,1,0,0,1,1,1
226,1,2,1,1,0,1,0,0,1,1,1
227,0,3,1,1,0,0,0,0,1,1,1
228,0,2,1,1,0,1,0,0,1,1,1
229,0,3,0,1,1,2,0,0,5,0,4
230,1,1,0,2,0,3,0,1,2,0,3
231,0,3,1,1,0,0,0,0,1,1,1
232,0,2,1,3,0,1,0,0,1,1,1
233,1,3,0,0,2,3,0,0,7,0,4
234,0,2,1,1,0,1,0,0,1,1,1
235,0,3,0,2,0,0,0,0,1,1,4
236,0,2,1,2,0,2,0,0,2,0,1
237,1,2,0,0,2,2,0,0,3,0,4
238,0,2,1,1,0,1,0,0,1,1,1
239,0,2,1,2,0,1,0,0,1,1,1
240,0,3,0,1,0,2,1,0,2,0,4
241,1,3,0,2,0,2,2,0,2,0,4
242,0,2,1,1,0,1,0,0,1,1,1
243,0,3,1,1,0,0,0,0,1,1,1
244,0,3,1,1,0,0,1,0,1,1,1
245,0,1,1,2,0,3,2,1,3,0,5
246,0,3,0,1,0,0,0,0,1,1,4
247,1,2,0,1,2,2,0,0,3,0,3
248,1,1,1,2,1,3,0,1,3,0,1
249,0,2,1,3,0,2,0,0,2,0,5
250,0,3,1,1,0,0,0,0,1,1,1
251,0,3,0,1,1,1,0,1,3,0,3
252,0,1,1,3,0,2,0,1,1,1,1
253,0,3,1,1,0,2,0,0,2,0,1
254,0,3,0,2,2,2,0,0,3,0,3
255,1,3,0,1,2,2,1,0,3,0,3
256,1,1,0,0,0,3,1,0,1,1,3
257,1,1,0,1,0,3,0,1,1,1,4
258,1,1,0,2,0,3,1,0,1,1,4
259,1,2,0,3,1,2,0,0,2,0,3
260,0,3,1,1,0,0,2,0,1,1,1
261,1,3,1,0,2,3,0,0,7,0,2
262,0,1,1,3,1,3,0,1,3,0,1
263,0,1,1,2,0,0,0,1,1,1,1
264,0,3,0,2,0,0,2,0,1,1,4
265,0,2,1,2,0,1,0,0,1,1,1
266,0,3,1,0,1,3,0,0,6,0,1
267,1,3,1,1,0,0,0,0,2,0,1
268,1,1,0,3,1,3,0,1,2,0,3
269,1,1,0,2,0,3,0,1,1,1,4
270,0,1,1,1,0,2,0,0,1,1,1
271,1,3,1,1,0,0,0,0,1,1,1
272,1,2,0,2,1,2,0,0,2,0,3
273,0,1,1,2,1,2,1,1,2,0,1
274,1,3,0,1,0,0,2,0,1,1,4
275,1,1,0,3,0,3,0,1,2,0,4
276,0,3,0,2,0,0,0,0,1,1,4
277,0,2,1,2,0,0,0,0,1,1,1
278,0,3,1,0,1,2,2,0,6,0,2
279,1,3,0,2,1,2,0,0,3,0,3
280,0,3,1,65,0,0,2,0,1,1,1
281,0,3,1,1,0,0,0,0,1,1,1
282,0,3,1,0,0,1,0,0,1,1,1
283,1,3,1,1,0,1,0,0,1,1,1
284,0,1,1,1,0,2,0,1,1,1,1
285,0,3,1,2,0,1,1,0,1,1,1
286,1,3,1,1,0,1,0,0,1,1,1
287,0,3,1,1,0,0,0,0,1,1,1
288,1,2,1,2,0,1,0,0,1,1,1
289,1,3,0,1,0,0,2,0,1,1,4
290,1,1,0,1,0,3,0,0,1,1,4
291,1,1,0,1,0,3,1,1,2,0,3
292,0,2,1,2,0,1,1,1,1,1,1
293,0,3,0,1,0,1,0,0,1,1,4
294,0,3,1,1,0,0,0,0,1,1,1
295,0,1,1,0,0,2,1,0,1,1,1
296,0,3,1,1,0,0,1,0,1,1,1
297,0,1,0,0,2,3,0,1,4,0,4
298,1,1,1,2,0,2,0,1,1,1,1
299,1,1,0,3,1,3,1,1,2,0,3
300,1,3,0,2,0,0,2,0,1,1,4
301,1,3,1,1,0,2,2,0,3,0,1
302,0,3,1,1,0,0,0,0,1,1,1
303,1,2,0,2,0,1,2,1,1,1,4
304,0,3,1,2,0,1,0,0,1,1,1
305,1,1,1,0,2,3,0,1,4,0,2
306,1,1,0,1,0,3,1,0,1,1,4
307,1,1,0,1,0,3,1,1,2,0,3
308,0,2,1,1,0,2,1,0,2,0,1
309,1,1,0,1,0,3,1,1,1,1,4
310,1,1,0,1,0,3,1,1,1,1,4
311,1,1,0,1,2,3,1,1,5,0,4
312,0,2,0,1,1,2,0,0,3,0,3
313,0,3,1,1,0,0,0,0,1,1,1
314,0,2,1,2,1,2,0,0,3,0,1
315,1,3,0,1,0,0,0,0,1,1,4
316,1,2,0,1,0,2,0,0,2,0,3
317,0,2,1,3,0,1,0,0,1,1,5
318,1,1,0,1,2,3,0,1,3,0,4
319,1,1,0,2,1,3,1,1,3,0,3
320,0,3,1,1,0,0,0,0,1,1,1
321,0,3,1,1,0,0,0,0,1,1,1
322,1,2,0,1,0,1,2,0,1,1,4
323,1,2,0,1,1,2,0,0,3,0,3
324,0,3,1,1,2,3,0,0,11,0,1
325,1,1,0,2,0,3,1,1,1,1,4
326,0,3,1,3,0,0,0,0,1,1,1
327,1,2,0,2,0,1,0,1,1,1,3
328,1,3,0,1,1,2,0,0,3,0,3
329,1,1,0,0,1,3,1,1,2,0,4
330,1,3,0,1,0,2,2,0,3,0,4
331,0,1,1,2,0,2,0,1,1,1,1
332,0,1,1,2,1,3,0,1,2,0,1
333,0,3,1,0,0,2,0,0,3,0,1
334,1,1,0,2,0,3,0,0,2,0,3
335,0,3,1,2,0,0,0,0,1,1,1
336,0,1,1,1,0,3,0,1,2,0,1
337,1,1,0,2,0,3,1,1,1,1,4
338,1,3,1,2,0,1,0,0,1,1,1
339,0,1,1,2,0,3,0,1,1,1,1
340,1,2,1,0,1,2,0,1,3,0,2
341,1,1,0,1,2,3,0,1,6,0,4
342,0,2,1,1,0,1,0,0,1,1,1
343,0,2,1,1,0,1,0,0,1,1,1
344,0,2,1,2,0,1,0,0,1,1,1
345,1,2,0,1,0,1,0,1,1,1,4
346,1,2,0,2,0,1,0,0,1,1,4
347,1,3,0,1,0,2,0,0,2,0,3
348,1,3,1,0,1,2,0,0,3,0,2
349,0,3,1,2,0,1,0,0,1,1,1
350,0,3,1,1,0,1,0,0,1,1,1
351,0,1,1,2,0,3,0,1,1,1,1
352,0,3,1,0,1,0,1,0,3,0,1
353,0,3,1,1,0,2,0,0,2,0,1
354,0,3,1,1,0,0,1,0,1,1,1
355,0,3,1,1,0,1,0,0,1,1,1
356,1,1,0,1,1,3,0,1,2,0,4
357,0,2,0,2,0,1,0,0,1,1,4
358,1,3,0,1,0,0,2,0,1,1,4
359,1,3,0,2,0,0,2,0,1,1,4
360,0,3,1,2,4,2,0,0,6,0,1
361,0,2,1,1,0,2,1,0,2,0,1
362,0,3,0,2,1,2,1,0,2,0,3
363,0,3,1,2,0,0,0,0,1,1,1
364,0,3,1,2,0,2,2,0,2,0,1
365,0,3,1,1,0,0,0,0,1,1,1
366,1,1,0,3,0,3,1,1,2,0,3
367,1,3,0,1,0,0,1,0,1,1,3
368,1,3,0,2,0,0,2,0,1,1,4
369,1,1,0,1,0,3,1,1,1,1,3
370,1,1,1,1,0,3,1,1,2,0,1
371,0,3,1,1,0,0,0,0,2,0,1
372,0,3,1,1,0,1,0,0,1,1,1
373,0,1,1,1,0,3,1,0,1,1,1
374,0,3,0,0,1,2,0,0,5,0,4
375,1,1,0,1,0,3,1,0,2,0,3
376,1,3,0,1,0,0,0,0,1,1,4
377,0,1,1,1,2,3,1,1,3,0,1
378,0,3,1,1,0,0,1,0,1,1,1
379,0,3,1,1,0,0,0,0,1,1,1
380,1,1,0,2,0,3,1,0,1,1,4
381,1,3,0,0,2,2,1,0,3,0,4
382,0,3,1,1,0,1,0,0,1,1,1
383,1,1,0,2,0,3,0,0,2,0,3
384,0,3,1,1,0,0,0,0,1,1,1
385,0,2,1,1,0,3,0,0,1,1,1
386,0,3,1,0,2,3,0,0,8,0,2
387,1,2,0,2,0,1,0,0,1,1,4
388,0,3,1,1,0,0,2,0,1,1,1
389,1,2,0,1,0,1,1,0,1,1,4
390,1,1,1,2,2,3,0,1,4,0,1
391,1,3,1,1,0,0,0,0,1,1,1
392,0,3,1,1,0,1,0,0,3,0,1
393,1,1,0,1,0,3,1,1,2,0,4
394,1,3,0,1,2,2,0,1,3,0,3
395,0,3,1,1,0,0,0,0,1,1,1
396,0,3,0,1,0,0,0,0,1,1,4
397,0,2,1,2,0,2,0,0,1,1,1
398,0,2,1,1,0,1,0,0,1,1,5
399,1,2,0,1,0,1,0,0,1,1,3
400,1,3,1,2,0,1,0,0,1,1,1
401,0,3,1,1,0,1,0,0,1,1,1
402,0,3,0,1,0,1,0,0,2,0,4
403,0,3,1,1,0,2,0,0,2,0,1
404,0,3,0,1,0,1,0,0,1,1,4
405,0,2,1,2,0,2,0,0,2,0,1
406,0,3,1,3,0,0,0,0,1,1,1
407,1,2,1,0,1,2,0,0,3,0,2
408,0,3,1,1,0,0,0,0,1,1,1
409,0,3,0,1,1,2,0,0,5,0,4
410,0,3,1,2,0,0,0,0,1,1,1
411,0,3,1,1,0,0,2,0,1,1,1
412,1,1,0,2,0,3,2,1,2,0,4
413,0,2,1,0,0,0,0,0,1,1,1
414,1,3,1,2,0,1,0,0,1,1,1
415,0,3,0,1,0,1,0,0,1,1,3
416,1,2,0,2,1,3,0,0,3,0,3
417,1,2,0,1,2,1,0,0,3,0,4
418,0,2,1,1,0,1,0,0,1,1,1
419,0,3,0,0,2,2,0,0,3,0,4
420,0,3,1,1,0,0,1,0,1,1,1
421,0,3,1,1,0,0,2,0,1,1,1
422,0,3,1,1,0,0,0,0,1,1,1
423,0,3,0,1,1,1,0,0,3,0,3
424,0,3,1,1,1,2,0,0,3,0,1
425,0,3,1,1,0,0,0,0,1,1,1
426,1,2,0,1,0,2,0,0,2,0,3
427,1,2,0,1,0,2,0,0,1,1,4
428,0,3,1,2,0,0,2,0,1,1,1
429,1,3,1,1,0,1,0,1,1,1,1
430,1,1,1,1,0,2,0,1,1,1,1
431,1,3,0,2,0,2,0,0,2,0,3
432,1,2,0,2,0,2,0,0,2,0,3
433,0,3,1,1,0,0,0,0,1,1,1
434,0,1,1,3,0,3,0,1,2,0,1
435,1,1,0,0,2,3,0,1,4,0,4
436,0,3,0,1,2,3,0,0,5,0,4
437,1,2,0,1,3,2,0,0,6,0,3
438,0,1,1,3,4,3,0,1,6,0,1
439,0,2,1,1,0,1,0,0,1,1,1
440,1,2,0,2,1,2,0,0,3,0,3
441,0,3,1,1,0,1,0,0,1,1,1
442,0,3,1,1,0,0,0,0,2,0,1
443,1,2,0,1,0,1,0,0,1,1,4
444,1,3,1,1,0,1,0,0,1,1,1
445,1,1,1,0,2,3,0,1,3,0,2
446,1,2,0,0,1,2,0,0,2,0,4
447,1,1,1,2,0,2,0,0,1,1,1
448,1,3,0,0,1,2,1,0,4,0,4
449,1,1,1,3,0,2,0,1,1,1,5
450,0,2,1,2,2,2,0,0,4,0,1
451,0,3,1,2,0,2,0,0,2,0,1
452,0,1,1,1,0,2,1,1,1,1,1
453,1,1,1,3,0,3,1,1,2,0,1
454,0,3,1,0,0,1,0,0,1,1,1
455,1,3,1,1,0,0,1,0,1,1,1
456,0,1,1,65,0,2,0,1,1,1,1
457,1,1,0,2,0,3,0,1,2,0,3
458,1,2,0,3,0,1,0,0,1,1,4
459,0,3,1,1,0,0,2,0,1,1,1
460,1,1,1,2,0,2,0,1,1,1,1
461,0,3,1,2,0,1,0,0,1,1,1
462,0,1,1,2,0,3,0,1,1,1,1
463,0,2,1,2,0,1,0,0,1,1,1
464,0,3,1,1,0,1,0,0,1,1,1
465,0,3,1,2,0,0,0,0,1,1,1
466,0,2,1,1,0,0,0,0,1,1,1
467,0,1,1,3,0,2,0,0,1,1,1
468,0,3,1,2,0,0,2,0,1,1,1
469,1,3,0,0,1,2,1,0,4,0,4
470,0,3,1,1,0,0,0,0,1,1,1
471,0,3,1,2,0,1,0,0,1,1,1
472,1,2,0,2,2,2,0,0,4,0,3
473,1,2,0,1,0,1,1,1,1,1,3
474,0,3,0,1,0,1,0,0,1,1,4
475,0,1,1,2,0,3,0,1,1,1,1
476,0,2,1,2,0,2,0,0,2,0,1
477,0,3,1,1,0,0,0,0,2,0,1
478,0,3,1,1,0,0,0,0,1,1,1
479,1,3,0,0,1,1,0,0,2,0,4
480,0,3,1,0,2,3,0,0,8,0,2
481,0,2,1,1,0,0,0,0,1,1,1
482,0,3,1,3,0,1,0,0,1,1,1
483,1,3,0,3,0,1,0,0,1,1,3
484,1,1,1,1,0,3,1,1,2,0,1
485,0,3,0,1,1,2,0,0,5,0,4
486,1,1,0,2,0,3,0,1,2,0,3
487,0,1,1,3,0,2,1,1,1,1,1
488,0,3,1,1,0,1,0,0,1,1,1
489,1,3,1,0,1,2,0,0,3,0,2
490,0,3,1,2,0,2,0,0,2,0,1
491,0,3,1,1,0,0,0,0,1,1,1
492,0,1,1,3,0,2,0,1,1,1,1
493,0,1,1,71,0,3,1,0,1,1,1
494,0,3,1,1,0,1,0,0,1,1,1
495,0,3,1,1,0,2,1,0,1,1,1
496,1,1,0,3,0,3,1,1,2,0,4
497,0,3,1,1,0,2,0,0,1,1,1
498,0,1,0,1,2,3,0,1,4,0,3
499,0,3,1,1,0,0,0,0,1,1,1
500,0,3,1,1,0,1,0,0,1,1,1
501,0,3,0,1,0,0,2,0,1,1,4
502,0,3,0,1,0,0,2,0,1,1,4
503,0,3,0,2,0,1,0,0,1,1,4
504,1,1,0,0,0,3,0,1,1,1,4
505,0,1,1,1,0,3,1,1,2,0,1
506,1,2,0,2,2,2,0,0,3,0,3
507,1,1,1,2,0,2,0,0,1,1,1
508,0,3,1,1,0,2,0,0,1,1,1
509,1,3,1,1,0,3,0,0,1,1,1
510,1,3,1,1,0,0,2,0,1,1,1
511,0,3,1,1,0,1,0,0,1,1,1
512,1,1,1,2,0,2,0,1,1,1,1
513,1,1,0,3,0,3,1,0,2,0,3
514,0,3,1,1,0,0,0,0,1,1,1
515,0,1,1,2,0,3,0,1,1,1,1
516,1,2,0,2,0,1,0,1,1,1,3
517,0,3,1,1,0,2,2,0,1,1,1
518,1,2,0,2,0,2,0,0,2,0,3
519,0,3,1,1,0,0,0,0,1,1,1
520,1,1,0,1,0,3,0,1,1,1,4
521,0,3,1,1,0,0,0,0,1,1,1
522,0,3,1,1,0,0,1,0,1,1,1
523,1,1,0,2,1,3,1,1,2,0,3
524,0,3,1,1,0,0,1,0,1,1,1
525,0,3,1,2,0,0,2,0,1,1,1
526,1,2,0,3,0,1,0,0,1,1,4
527,0,1,1,0,0,3,0,1,1,1,1
528,0,3,1,2,0,1,0,0,1,1,1
529,0,2,1,1,1,1,0,0,4,0,1
530,1,2,0,0,1,2,0,0,3,0,4
531,0,3,1,2,0,0,1,0,1,1,1
532,0,3,1,1,1,0,1,0,3,0,1
533,1,3,0,1,2,2,1,0,3,0,3
534,0,3,0,1,0,1,0,0,1,1,4
535,1,2,0,0,2,2,0,0,3,0,4
536,0,1,1,2,0,2,0,1,1,1,5
537,1,1,0,1,0,3,1,0,1,1,4
538,0,3,1,1,0,2,0,0,1,1,1
539,1,1,0,1,2,3,1,1,3,0,4
540,1,1,0,2,2,3,0,1,3,0,4
541,0,3,0,0,2,3,0,0,7,0,4
542,0,3,0,0,2,3,0,0,7,0,4
543,1,2,1,1,0,2,0,0,2,0,1
544,0,1,1,3,0,3,1,1,2,0,1
545,0,1,1,3,0,2,0,0,1,1,1
546,1,2,0,1,0,2,0,0,2,0,3
547,1,2,1,1,0,1,1,0,1,1,1
548,0,3,1,2,1,2,0,0,3,0,1
549,1,2,1,0,1,3,0,0,3,0,2
550,1,1,1,1,2,3,1,1,3,0,1
551,0,2,1,1,0,2,0,0,1,1,1
552,0,3,1,2,0,0,2,0,1,1,1
553,1,3,1,1,0,0,1,0,1,1,1
554,1,3,0,1,0,0,0,0,1,1,4
555,0,1,1,3,0,2,0,0,1,1,1
556,1,1,0,2,0,3,1,1,2,0,5
557,0,1,1,2,0,3,1,0,1,1,1
558,1,1,0,2,1,3,0,1,3,0,3
559,1,3,0,2,0,2,0,0,2,0,3
560,0,3,1,1,0,0,2,0,1,1,1
561,0,3,1,2,0,0,0,0,1,1,1
562,0,2,1,1,0,1,0,0,1,1,1
563,0,3,1,2,0,1,0,0,1,1,1
564,0,3,0,0,0,1,0,0,1,1,4
565,0,3,1,1,0,2,0,0,3,0,1
566,0,3,1,1,0,0,0,0,1,1,1
567,0,3,0,1,4,2,0,0,5,0,3
568,0,3,1,1,0,0,1,0,1,1,1
569,1,3,1,1,0,0,0,0,1,1,1
570,1,2,1,3,0,1,0,0,1,1,1
571,1,1,0,3,0,3,0,1,3,0,3
572,1,1,1,2,0,2,0,1,1,1,1
573,1,3,0,0,0,0,2,0,1,1,4
574,0,3,1,0,0,1,0,0,1,1,1
575,0,3,1,1,0,2,0,0,1,1,1
576,1,2,0,2,0,1,0,0,1,1,4
577,1,1,0,2,0,3,0,1,2,0,3
